emp_title,emp_length,state,homeownership,annual_income,verified_income,debt_to_income,delinq_2y,months_since_last_delinq,total_credit_lines,account_never_delinq_percent,loan_purpose,application_type,loan_amount,term,interest_rate,installment,grade,loan_status
global config engineer ,3.0,NJ,MORTGAGE,90000.0,Verified,18.01,0,38.0,28,92.9,moving,individual,28000,60,14.07,652.53,C,Current
warehouse office clerk,10.0,HI,RENT,40000.0,Not Verified,5.04,0,,30,100.0,debt_consolidation,individual,5000,36,12.61,167.54,C,Current
assembly,3.0,WI,RENT,40000.0,Source Verified,21.15,0,28.0,31,93.5,other,individual,2000,36,17.09,71.4,D,Current
customer service,1.0,PA,RENT,30000.0,Not Verified,10.16,0,,4,100.0,debt_consolidation,individual,21600,36,6.72,664.19,A,Current
security supervisor ,10.0,CA,RENT,35000.0,Verified,57.96,0,,22,100.0,credit_card,joint,23000,36,14.07,786.87,C,Current
,,KY,OWN,34000.0,Not Verified,6.46,1,3.0,32,78.1,other,individual,5000,36,6.72,153.75,A,Current
hr ,10.0,MI,MORTGAGE,35000.0,Source Verified,23.66,0,,12,100.0,credit_card,joint,24000,60,13.59,553.35,C,Current
police,10.0,AZ,MORTGAGE,110000.0,Source Verified,16.19,1,19.0,30,93.0,debt_consolidation,individual,20000,60,11.99,444.79,B,Current
parts,10.0,NV,MORTGAGE,65000.0,Source Verified,36.48,1,18.0,35,97.1,home_improvement,individual,20000,36,13.59,679.58,C,Current
4th person,3.0,IL,RENT,30000.0,Not Verified,18.91,0,,9,100.0,credit_card,individual,6400,36,6.71,196.77,A,Current
supervisor,10.0,IL,MORTGAGE,75000.0,Verified,10.45,0,50.0,22,94.1,debt_consolidation,individual,25000,60,15.04,595.28,C,Current
register nurse,2.0,FL,MORTGAGE,91900.0,Source Verified,1.82,0,,26,92.0,other,individual,40000,60,9.92,848.31,B,Current
respiratory therapist & sleep lab tech,5.0,SC,MORTGAGE,122000.0,Source Verified,12.06,0,37.0,32,84.4,debt_consolidation,individual,16000,36,13.59,543.67,C,Current
senior inspector,10.0,CO,MORTGAGE,88000.0,Source Verified,3.67,0,44.0,65,98.4,credit_card,individual,17000,60,9.43,356.46,B,Current
,,FL,MORTGAGE,17000.0,Verified,33.98,1,6.0,22,90.9,debt_consolidation,individual,3000,36,19.03,110.02,D,Current
dental hygienist,10.0,TN,MORTGAGE,60000.0,Not Verified,38.46,0,,21,100.0,credit_card,individual,20000,60,19.03,519.15,D,Current
,,NV,MORTGAGE,60000.0,Not Verified,31.22,0,77.0,21,95.2,credit_card,individual,12000,60,19.03,311.49,D,Current
onsite medical ,3.0,NV,RENT,72000.0,Source Verified,20.33,0,37.0,12,91.7,debt_consolidation,individual,30000,60,28.72,947.15,F,Current
operational risk manager,10.0,IL,MORTGAGE,210000.0,Verified,9.53,0,,18,100.0,medical,individual,5000,36,26.77,203.51,E,Fully Paid
welder,1.0,CA,MORTGAGE,83000.0,Source Verified,18.44,3,14.0,11,63.6,debt_consolidation,individual,20000,60,15.05,476.33,C,Fully Paid
maintenance adm assistant,10.0,KY,MORTGAGE,50000.0,Not Verified,15.6,0,,13,100.0,credit_card,individual,7000,36,6.08,213.21,A,Current
warranty administrator,1.0,NV,MORTGAGE,42000.0,Source Verified,32.0,0,,19,100.0,credit_card,joint,10000,36,11.98,332.05,B,Current
